name,region_code,code,id
Abra,1400000000,1400100000,1
Benguet,1400000000,1401100000,2
Ifugao,1400000000,1402700000,3
Kalinga,1400000000,1403200000,4
Mountain Province,1400000000,1404400000,5
Apayao,1400000000,1408100000,6
Ilocos Norte,0100000000,0102800000,7
Ilocos Sur,0100000000,0102900000,8
La Union,0100000000,0103300000,9
Pangasinan,0100000000,0105500000,10
Batanes,0200000000,0200900000,11
Cagayan,0200000000,0201500000,12
Isabela,0200000000,0203100000,13
Nueva Vizcaya,0200000000,0205000000,14
Quirino,0200000000,0205700000,15
Bataan,0300000000,0300800000,16
Bulacan,0300000000,0301400000,17
Nueva Ecija,0300000000,0304900000,18
Pampanga,0300000000,0305400000,19
Tarlac,0300000000,0306900000,20
Zambales,0300000000,0307100000,21
Aurora,0300000000,0307700000,22
Batangas,0400000000,0401000000,23
Cavite,0400000000,0402100000,24
Laguna,0400000000,0403400000,25
Quezon,0400000000,0405600000,26
Rizal,0400000000,0405800000,27
Marinduque,1700000000,1704000000,28
Occidental Mindoro,1700000000,1705100000,29
Oriental Mindoro,1700000000,1705200000,30
Palawan,1700000000,1705300000,31
Romblon,1700000000,1705900000,32
Albay,0500000000,0500500000,33
Camarines Norte,0500000000,0501600000,34
Camarines Sur,0500000000,0501700000,35
Catanduanes,0500000000,0502000000,36
Masbate,0500000000,0504100000,37
Sorsogon,0500000000,0506200000,38
Aklan,0600000000,0600400000,39
Antique,0600000000,0600600000,40
Capiz,0600000000,0601900000,41
Iloilo,0600000000,0603000000,42
Guimaras,0600000000,0607900000,43
Negros Occidental,1800000000,1804500000,44
Negros Oriental,1800000000,1804600000,45
Siquijor,1800000000,1806100000,46
Bohol,0700000000,0701200000,47
Cebu,0700000000,0702200000,48
Eastern Samar,0800000000,0802600000,49
Leyte,0800000000,0803700000,50
Northern Samar,0800000000,0804800000,51
Samar,0800000000,0806000000,52
Southern Leyte,0800000000,0806400000,53
Biliran,0800000000,0807800000,54
Sulu,0900000000,0906600000,55
Zamboanga del Norte,0900000000,0907200000,56
Zamboanga del Sur,0900000000,0907300000,57
Zamboanga Sibugay,0900000000,0908300000,58
Bukidnon,1000000000,1001300000,59
Camiguin,1000000000,1001800000,60
Lanao del Norte,1000000000,1003500000,61
Misamis Occidental,1000000000,1004200000,62
Misamis Oriental,1000000000,1004300000,63
Davao del Norte,1100000000,1102300000,64
Davao del Sur,1100000000,1102400000,65
Davao Oriental,1100000000,1102500000,66
Davao de Oro,1100000000,1108200000,67
Davao Occidental,1100000000,1108600000,68
Cotabato,1200000000,1204700000,69
South Cotabato,1200000000,1206300000,70
Sultan Kudarat,1200000000,1206500000,71
Sarangani,1200000000,1208000000,72
Agusan del Norte,1600000000,1600200000,73
Agusan del Sur,1600000000,1600300000,74
Surigao del Norte,1600000000,1606700000,75
Surigao del Sur,1600000000,1606800000,76
Dinagat Islands,1600000000,1608500000,77
Basilan,1900000000,1900700000,78
Lanao del Sur,1900000000,1903600000,79
Tawi-Tawi,1900000000,1907000000,80
Maguindanao del Norte,1900000000,1908700000,81
Maguindanao del Sur,1900000000,1908800000,82
